ingredient_en,dur_ingr_code,dur_eng_name,kr_name_hint,atc,rxcui,cyp3a4_role,strength,clinical_action,evidence_source,notes
simvastatin,D000027,Simvastatin,심바스타틴,C10AA01,TBD-rxnav,substrate,,,openFDA-label:drug_interactions,"substrate; contraindicated w/ strong CYP3A4 inhibitors"
lovastatin,D000419,Lovastatin,로바스타틴,C10AA02,TBD-rxnav,substrate,,,openFDA-label:drug_interactions,"substrate; contraindicated w/ strong CYP3A4 inhibitors"
atorvastatin,D000455,Atorvastatin,아토르바스타틴,C10AA05,TBD-rxnav,substrate,,,openFDA-label:drug_interactions,"substrate; but no absolute contraindication (dose caps)"
pravastatin,D000305,Pravastatin,프라바스타틴,C10AA03,TBD-rxnav,none,,,knowledge,"NON-CYP3A4 statin — contrast/hard-negative anchor"
rosuvastatin,D000219,Rosuvastatin,로수바스타틴,C10AA07,TBD-rxnav,none,,,knowledge,"NON-CYP3A4 statin — contrast/hard-negative anchor"
clarithromycin,D000373,Clarithromycin,클래리스로마이신,J01FA09,TBD-rxnav,inhibitor,strong,contraindicated,openFDA-label:contraindications,"macrolide; simvastatin/lovastatin contraindicated"
erythromycin,D000256,Erythromycin,에리스로마이신,J01FA01,TBD-rxnav,inhibitor,strong,contraindicated,openFDA-label:drug_interactions,"macrolide; grouped w/ clarithromycin in statin labels"
itraconazole,D000762,Itraconazole,이트라코나졸,J02AC02,TBD-rxnav,inhibitor,strong,contraindicated,openFDA-label:drug_interactions,"potent CYP3A4 inhibitor; azole"
ketoconazole,D000769,Ketoconazole,케토코나졸,J02AB02,TBD-rxnav,inhibitor,strong,contraindicated,openFDA-label:drug_interactions,"azole; strong inhibitor"
ritonavir,D000712,Ritonavir,리토나비르,J05AE03,TBD-rxnav,inhibitor,strong,contraindicated,openFDA-label:drug_interactions,"HIV PI; strong CYP3A4 inhibitor"
diltiazem,D000818,Diltiazem,딜티아젬,C08DB01,TBD-rxnav,inhibitor,moderate,dose-adjust,openFDA-label:drug_interactions,"CCB; simvastatin<=10mg. Diltiazem is an inhibitor of CYP3A4"
verapamil,D000329,Verapamil,베라파밀,C08DA01,TBD-rxnav,inhibitor,moderate,dose-adjust,openFDA-label:drug_interactions,"CCB; simvastatin<=10mg"
amiodarone,D000259,Amiodarone,아미오다론,C01BD01,TBD-rxnav,inhibitor,moderate,dose-adjust,openFDA-label:drug_interactions,"simvastatin<=20mg; weak on own label, grounded via substrate label"
dronedarone,D000201,Dronedarone,드로네다론,C01BD07,TBD-rxnav,inhibitor,moderate,dose-adjust,openFDA-label:drug_interactions,"simvastatin<=10mg"
rifampin,D000314,Rifampicin,리팜핀,J04AB02,TBD-rxnav,inducer,strong,monitor,openFDA-label:drug_interactions,"DUR uses INN spelling Rifampicin (not US Rifampin) — cross-ontology note. strong CYP3A4 inducer; decreases statin exposure"
carbamazepine,D000476,Carbamazepine,카르바마제핀,N03AF01,TBD-rxnav,inducer,strong,monitor,openFDA-label:drug_interactions,"strong CYP3A4 inducer (also a substrate — dual role)"
phenytoin,D000595,Phenytoin,페니토인,N03AB02,TBD-rxnav,inducer,strong,monitor,knowledge,"strong CYP3A4 inducer"
midazolam,D000007,Midazolam,미다졸람,N05CD08,TBD-rxnav,substrate,,,knowledge,"CYP3A4 substrate — hard-negative pairing anchor (substrate+substrate)"
